cena_m2,powierzchnia,rok_budowy,pietro,pietro_max,winda,balkon,taras,wspolrzedne_szerokosc,wspolrzedne_wysokosc,odleglosc_metro,odleglosc_centrum,agencja,spoldzielcze,remont,wykonczenie
16824.0,74.3,2017.0,3.0,5.0,1,1,0,52.25253846284365,21.084776192065416,2.9541648061035093,5.838784620594143,1,0,0,0
16980.0,76.5,2019.0,1.0,3.0,1,1,0,52.22217,20.91659,1.983184118904029,6.185044896049004,1,0,0,0
10186.0,53.9,2000.0,8.0,9.0,1,1,0,52.3471215,20.94315659,6.9196570430888,13.526304943749055,1,0,0,0
18506.0,81.0,1976.0,0.0,3.0,0,0,0,52.22842,21.08064,3.313157057336432,5.093271426650865,1,0,0,0
12826.0,50.6,1970.0,2.0,4.0,0,1,0,52.1910174,20.8963716,5.593082931756692,8.736618718641497,0,1,1,0
26000.0,79.3,2005.0,7.0,7.0,1,1,0,52.200919666116,21.031501803188,1.9515783489097869,3.8387741788747376,1,0,0,0
19218.0,78.0,2020.0,1.0,6.0,1,1,0,52.18466,21.01411,0.4793572883139482,5.261582290178742,1,0,0,1
11500.0,53.97,2023.0,0.0,2.0,0,0,0,52.32554,21.06238,3.821649081570344,11.113921556547687,1,0,0,1
17627.0,51.0,1974.0,9.0,10.0,1,1,0,52.2002706,21.021509,1.3848326704867482,3.6521693591976816,1,1,0,0
21977.0,32.67,1953.0,2.0,3.0,0,0,0,52.24211,21.00117,0.112401866036695,1.2021584363247917,1,0,1,0
22537.0,81.2,2010.0,3.0,4.0,0,1,0,52.15634,21.08176,2.6056084186351445,9.843106118989525,1,0,0,0
18690.0,32.8,2007.0,1.0,3.0,1,1,0,52.25964,20.9309922,2.202112309754811,5.979250609946045,1,0,0,0
11816.0,80.4,1994.0,1.0,3.0,1,1,1,52.2524675,20.923903,1.34999078049814,6.050306603872151,1,0,0,0
15000.0,62.31,2023.0,3.0,6.0,1,1,0,52.3290952,20.9668462,5.194263172623048,11.1512641814609,1,0,0,0
20178.0,61.7,2013.0,0.0,6.0,1,0,0,52.2279554,20.9514996,1.1290127038863955,3.7387442666879855,1,0,0,0
16654.0,78.0,2001.0,0.0,3.0,1,0,1,52.13,21.08,1.1265123995460509,12.383674591429536,1,1,0,0
13949.0,45.0,2021.0,4.0,5.0,0,0,1,52.24168,21.08406,2.894297695491211,5.426385975221123,1,0,0,0
21937.0,45.54,2022.0,0.0,6.0,1,1,1,52.23198473250344,21.10906822182619,4.831131405051616,7.015951917676612,0,0,0,0
37228.0,42.71,2007.0,3.0,3.0,1,1,0,52.2050225,20.994416613038,0.4058050109779511,3.0725960471495197,1,0,0,0
